"Sign In", "Вход"
"Create an Account", "Регистрация"
"call back", "Обратный звонок"
"My Cart", "Корзина"
"My Account", "Гараж"
"My Wish List", "Избранное"
"Compare Products", "Сравнение"
"Product catalog", "Каталог товаров"
"Search entire store here...", "Поиск по названию, коду, категории товара"
"Home", "Главная"
"Sign Out", "Вийти"
"Out of stock", "Нет в наличии"
"In stock", "В наличии"
"Qty", "Количество"
"Reviews", "Отзывы"
"Notify me when this product is in stock", "Сообщить о поступлении"
"Add to Compare", "Сравнить"
"Share", "Поделиться"
"Add to Wish List", "В избранное"
"Sku", "Код товара"
"Ends", "Заканчивается"
"Related Products", "Похожие товары"
"Details", "Описание"
"More Information", "Характеристики"
"Product description", "Описание товара"
"Add review", "Оставить отзыв"
"Product information", "Характеристики товара"
"You're reviewing:", "Ваш отзыв:"
"Russia", "Россия"
